tweet_id,likes,user_likes,date_time,retweets
873213775632977920,6724,146140,2017-06-09 16:22:42,1460
872967104147763200,25617,146140,2017-06-09 00:02:31,4976
872820683541237760,13859,146140,2017-06-08 14:20:41,3416
872620804844003328,19491,146140,2017-06-08 01:06:27,3348
872486979161796608,38345,146141,2017-06-07 16:14:40,8307
872122724285648897,32273,146140,2017-06-06 16:07:15,7443
871879754684805121,35411,146140,2017-06-06 00:01:46,10107
871762521631449091,19040,146140,2017-06-05 16:15:56,3213
871515927908634625,19008,146140,2017-06-04 23:56:03,3206
871166179821445120,0,146140,2017-06-04 00:46:17,5268
871102520638267392,19708,146140,2017-06-03 20:33:19,5094
871032628920680449,21432,146140,2017-06-03 15:55:36,3530
870804317367881728,31733,146140,2017-06-03 00:48:22,5707
870726314365509632,114,146140,2017-06-02 19:38:25,3
870656317836468226,11649,146140,2017-06-02 15:00:16,2439
870374049280663552,78353,146140,2017-06-01 20:18:38,24479
870308999962521604,20682,146140,2017-06-01 16:00:09,3838
870063196459192321,34497,146140,2017-05-31 23:43:25,7689
869772420881756160,40221,146140,2017-05-31 04:27:59,9360
869702957897576449,26677,146140,2017-05-30 23:51:58,5839
869596645499047938,15088,146140,2017-05-30 16:49:31,2894
869227993411051520,19314,146140,2017-05-29 16:24:37,3497
868880397819494401,61904,146140,2017-05-28 17:23:24,13389
868639477480148993,0,146140,2017-05-28 01:26:04,1930
868622495443632128,25249,146140,2017-05-28 00:18:35,4915
868552278524837888,9544,146140,2017-05-27 19:39:34,1930
867900495410671616,22935,146140,2017-05-26 00:29:37,3884
867774946302451713,32178,146140,2017-05-25 16:10:44,6840
867421006826221569,15234,146140,2017-05-24 16:44:18,2316
867072653475098625,0,146141,2017-05-23 17:40:04,112
867051520902168576,30570,146140,2017-05-23 16:16:06,7339
866720684873056260,19004,146140,2017-05-22 18:21:28,4474
866686824827068416,18303,146140,2017-05-22 16:06:55,3254
866450705531457537,116084,146140,2017-05-22 00:28:40,32837
866334964761202691,49788,146140,2017-05-21 16:48:45,13304
866094527597207552,0,146140,2017-05-21 00:53:21,7823
865718153858494464,24381,146140,2017-05-19 23:57:46,5251
865359393868664832,25162,146140,2017-05-19 00:12:11,4682
865006731092295680,26653,146140,2017-05-18 00:50:50,7200
864873206498414592,30697,146140,2017-05-17 16:00:15,8129
864279568663928832,13867,146140,2017-05-16 00:41:21,2830
864197398364647424,28556,146140,2017-05-15 19:14:50,8298
863907417377173506,19625,146140,2017-05-15 00:02:33,3882
863553081350529029,14549,146140,2017-05-14 00:34:33,3926
863471782782697472,0,146140,2017-05-13 19:11:30,2282
863432100342583297,22669,146140,2017-05-13 16:33:49,4930
863427515083354112,2100,146140,2017-05-13 16:15:35,89
863079547188785154,8371,146140,2017-05-12 17:12:53,1042
863062471531167744,8063,146140,2017-05-12 16:05:02,2282
862831371563274240,18310,146140,2017-05-12 00:46:44,4843
862722525377298433,16330,146140,2017-05-11 17:34:13,3325
862457590147678208,19520,146140,2017-05-11 00:01:27,4638
862096992088072192,70915,146140,2017-05-10 00:08:34,21775
861383897657036800,34469,146140,2017-05-08 00:54:59,10085
861288531465048066,16413,146140,2017-05-07 18:36:02,3902
861005113778896900,15954,146141,2017-05-06 23:49:50,3594
860981674716409858,0,146140,2017-05-06 22:16:42,2022
860924035999428608,0,146140,2017-05-06 18:27:40,754
860563773140209665,7164,146140,2017-05-05 18:36:06,2022
860524505164394496,22633,146140,2017-05-05 16:00:04,5015
860276583193509888,17585,146140,2017-05-04 23:34:55,3316
860184849394610176,15973,146140,2017-05-04 17:30:24,5524
860177593139703809,0,146140,2017-05-04 17:01:34,29263
859924526012018688,18768,146140,2017-05-04 00:15:58,3881
859851578198683649,14789,146140,2017-05-03 19:26:06,3322
859607811541651456,17859,146140,2017-05-03 03:17:27,1486
859196978902773760,86212,146140,2017-05-02 00:04:57,28569
859074603037188101,32456,146140,2017-05-01 15:58:40,12933
858860390427611136,0,146140,2017-05-01 01:47:28,7693
858843525470990336,14987,146140,2017-05-01 00:40:27,3309
858471635011153920,20691,146140,2017-04-30 00:02:42,4619
858107933456039936,15154,146140,2017-04-28 23:57:28,2761
857989990357356544,15483,146140,2017-04-28 16:08:49,2473
857746408056729600,32984,146140,2017-04-28 00:00:54,10119
857393404942143489,5668,146140,2017-04-27 00:38:11,1569
857263160327368704,19327,146140,2017-04-26 16:00:39,4310
857214891891077121,215,146140,2017-04-26 12:48:51,17
857062103051644929,0,146140,2017-04-26 02:41:43,162
857029823797047296,18176,146140,2017-04-26 00:33:27,3801
856543823941562368,15761,146140,2017-04-24 16:22:16,2761
856526610513747968,11464,146140,2017-04-24 15:13:52,1796
856330835276025856,0,146140,2017-04-24 02:15:55,640
856288084350160898,495,146140,2017-04-23 23:26:03,15
856282028240666624,26824,146140,2017-04-23 23:01:59,6028
855862651834028034,325,146140,2017-04-22 19:15:32,25
855860136149123072,4752,146140,2017-04-22 19:05:32,936
855857698524602368,11494,146140,2017-04-22 18:55:51,2024
855851453814013952,44299,146140,2017-04-22 18:31:02,17299
855818117272018944,25829,146140,2017-04-22 16:18:34,5213
855459453768019968,28898,146140,2017-04-21 16:33:22,7902
855245323840757760,0,146140,2017-04-21 02:22:29,5730
855138241867124737,0,146140,2017-04-20 19:16:59,43
854732716440526848,22097,146140,2017-04-19 16:25:34,5845
854482394044301312,28455,146140,2017-04-18 23:50:52,6620
854365224396361728,18361,146140,2017-04-18 16:05:17,4524
854120357044912130,31126,146140,2017-04-17 23:52:16,7198
854010172552949760,15792,146140,2017-04-17 16:34:26,3048
853760880890318849,27814,146140,2017-04-17 00:03:50,5553
853639147608842240,33764,146140,2017-04-16 16:00:07,9715
853299958564483072,15097,146140,2017-04-15 17:32:18,3451
852936405516943360,0,146140,2017-04-14 17:27:40,1934
852912242202992640,8809,146140,2017-04-14 15:51:39,1758
852672615818899456,14546,146140,2017-04-13 23:59:28,2097
852553447878664193,15911,146140,2017-04-13 16:05:56,3372
852311364735569921,32395,146140,2017-04-13 00:03:59,9660
852226086759018497,19542,146140,2017-04-12 18:25:07,6655
852189679701164033,11200,146140,2017-04-12 16:00:27,1550
851861385021730816,0,146140,2017-04-11 18:15:55,19
851591660324737024,15926,146140,2017-04-11 00:24:08,3386
851464819735769094,23759,146140,2017-04-10 16:00:07,6877
851224888060895234,20260,146140,2017-04-10 00:06:42,5595
850753642995093505,30213,146140,2017-04-08 16:54:09,8902
850380195714523136,12850,146140,2017-04-07 16:10:12,2550
850333567704068097,3394,146140,2017-04-07 13:04:55,320
850145622816686080,16030,146140,2017-04-07 00:38:06,3703
850019790995546112,20031,146140,2017-04-06 16:18:05,4763
849776966551130114,29887,146140,2017-04-06 00:13:11,7424
849668094696017920,0,146140,2017-04-05 17:00:34,4851
849412302885593088,15597,146140,2017-04-05 00:04:08,3089
849336543269576704,11230,146140,2017-04-04 19:03:06,1863
849051919805034497,41648,146140,2017-04-04 00:12:06,8295
848690551926992896,24786,146140,2017-04-03 00:16:10,4235
848324959059550208,24301,146140,2017-04-02 00:03:26,4532
848213670039564288,8054,146140,2017-04-01 16:41:12,716
848212111729840128,16063,146140,2017-04-01 16:35:01,2978
847978865427394560,0,146140,2017-04-01 01:08:10,3199
